UMAP1,UMAP2,company
25.493052,-46.414062,HIGHCO DATA
-0.053617414,2.9863927,Visa
-5.5860233,1.0407896,Wpp Group
25.534687,-46.37905,HBG Ltd
35.593384,0.15472911,Sir John Deane's College
2.8394632,2.9723518,WNA-LTD
-21.770395,-24.467747,MECCA Brands
-3.3792148,7.2132864,NHS Scotland
-6.868552,1.3918663,TRKKN
35.867325,0.17608836,Co-op
-0.37571597,3.672939,Gibson Consulting
-6.763639,26.126326,Baltimore City Public School System
-2.6022236,2.633896,"Mission Technologies, a division of HII"
1.4269748,5.398412,Everyone Health
-0.14070916,-32.777477,Scientific Research Corporation
0.82371175,2.6832433,Worldwide Recruitment
-6.0631123,1.1797082,Premier Fitness Service
18.511517,-24.705107,gocomo.io
-3.3758698,7.212152,"Vista Equity Partners Management, LLC"
0.6721846,2.66822,Paysafe
-21.68116,-24.507242,Coopérative U Enseigne
-4.243514,12.824435,Croda
35.87041,0.17687695,Aveanna
3.013154,-1.700306,Macildowie Recruitment and Retention
-5.9485993,1.2078621,Dev
-21.675182,-24.493488,Gorgias
-21.716982,-24.474262,CC Pace
3.1930056,1.4900749,Silverlink Technologies
-16.961512,-2.53954,Верина Ю. И.
-37.558937,29.936762,DenizBank AG
-11.092881,-15.38973,"VMware, Inc"
1.4712307,5.385097,Universitätsspital Zürich
-5.470781,0.364223,Flo Health
-0.34875736,4.190981,University of North Texas
5.5325513,0.12471326,Haworth Inc.
4.6484857,0.15095477,City Facilities Management (MYS) Sdn. Bhd. (201501005050)
8.444476,17.884457,Fortum
0.9614934,1.0010762,Jobberman Nigeria
-2.4379172,2.1884508,Southern Glazer’s Wine and Spirits
36.092094,0.2989518,Lévavi
-37.55572,29.943117,EPO Sailing Club
16.327728,-2.629981,Visual Lease LLC
1.6335709,-2.2639034,Alldus International Consulting Ltd
6.460551,-5.3552046,UNIQA Biztosító
2.6042314,-5.0671167,Valley Bank
-5.6395845,0.42304337,Hiresigma
35.637146,0.07222678,Labor Spa
-21.658384,-24.528795,Airasia
-5.822887,0.9095094,Jobandtalent
25.505552,-46.381554,MUNICH MANAGEMENT PTE. LTD.
18.518293,-24.698544,DSC - Groupe Saint Gobain
13.918307,12.4127655,TeleSolv Consulting
-0.6463229,3.876083,Finatal
-3.4176192,7.848411,At Home
-2.8679304,-21.351732,Mind7 Consulting
-21.76248,-24.464655,Ростелеком
16.305609,-2.652201,Helan. Helemaal welzijn.
-37.612396,29.979132,Dublin CODING School
2.984055,-1.7341394,Clario
-3.4292343,8.143063,YNOV
-9.40209,9.351061,Haven Life
35.80787,0.35176027,Alliance Personnel Ltd
-2.5876987,-0.04077867,TM Forum
1.6527433,-2.2848566,ateeca
8.15412,0.94091356,Novo Recruitment Solutions Pte. Ltd.
-2.9381502,-0.07561405,Balyasny Asset Management
-0.897956,1.1659263,VidaCaixa
0.8760487,1.2897754,"ZC CONSULTING, UNIPESSOAL LDA"
36.10103,0.28737894,Finalis
-0.37562114,1.1164043,Amdaris
6.452023,-5.3442793,Florida Peninsula Insurance
-6.7583942,26.115393,Stone Alliance Group
35.910793,0.19711787,Rogers Mechanical Contractors
1.2260765,5.17198,Trans Neuron Technology
-4.1460414,-7.572094,OUTFITTERY
-0.2867555,0.90247285,Integrated Pharma
-6.920835,26.422655,Franklin Smith
-2.8024838,4.205125,Creode
-2.64515,0.3584435,IQ-EQ
-0.7284278,2.6479468,UST Logistical Systems
0.30620018,3.1251838,Formorrow (prev. Procam)
-0.6623352,1.249964,Sialconsulting
1.014014,5.78025,Holman Inc
-0.15727727,-32.796543,Stockland
-5.7807007,1.13243,NEOLITH
-1.0908115,4.838328,PRO BTP GROUPE
25.521921,-46.380753,Supportware Philippines
-2.3417206,2.5491002,SESC
-6.2560186,6.1049995,Rise Networks
8.443912,17.883894,Rastegar Property Company
-4.1476026,-7.5604043,Mad Paws
-1.032716,4.766586,City National Bank (CNB)
0.8295148,-0.8813576,Standards Australia
