mean_salary,mean_residual,p_value,p_adj,significant
96666.66666666667,-13920.30580404684,0.6414352068715811,0.7957654822091044,False
75000.0,5833.3333333337405,0.01980394118037099,0.09901970590185495,False
90833.33333333333,2415.137991774061,0.8944739234701505,0.9686061918660348,False
111710.14285714286,5707.778021978332,0.0013606332424527928,0.015312071807245928,True
91641.66666666667,-4820.833333333966,0.363217467649055,0.5912102594306338,False
83333.33333333333,-12083.333333333148,0.3062717092803935,0.5264045003256763,False
104193.54838709677,3474.6337593789763,0.431264312546754,0.6214725901328769,False
110000.0,9970.321973730586,0.18826437118000794,0.42263430264899743,False
85791.66666666667,5510.812500000112,0.35324474225141933,0.5857827384068762,False
135333.33333333334,29547.8289855075,0.13324118605799257,0.3533562328769094,False
90334.58333333333,-7009.177439892832,0.2821401827636563,0.5087773787541343,False
