UMAP1,UMAP2,job_id,company,entry_count,salary_year_avg,aws,azure,excel,flow,go,looker,oracle,power bi,powerpoint,python,r,sas,snowflake,spss,sql,sql server,tableau,word,cluster,cluster_size
35.683586,-2.0105953,1250057,Corporate,4,92550.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,175
-2.9252398,-28.763178,1251858,Fidelity Investments,16,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,13,193
-0.01857101,-5.901013,1252348,Harnham,36,105000.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,22,207
114.692604,-77.17383,1253168,Kyowa Kirin,16,111175.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,23,116
42.165688,-19.768099,1254336,Uber,9,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,4,381
-17.261026,9.134384,1256478,"Acadia Technologies, Inc.",9,70000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,3,117
22.698305,8.308336,1256483,Community College of Baltimore County,16,87917.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,25,31
29.364119,15.31035,1257608,Auxiliary Services Corporation,1,92500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20,108
42.89123,-20.444397,1257763,Protek Consulting,9,150000.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,4,381
5.056571,9.095444,1257941,Kaiser Permanente,4,93020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5,260
14.471581,26.708292,1258573,LHH,1,65000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,268
-4.1477942,-28.766472,1258577,Publicis Groupe,9,53014.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,13,193
35.158493,-1.65555,1259256,Get It Recruit - Transportation,4,76000.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2,175
114.90116,-77.50438,1259526,GlobalData UK Limited,9,105000.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,23,116
6.1757526,-1.2749618,1260340,"Hexaware Technologies, Inc",16,110000.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,8,151
